DATE,T10Y3M
2019-02-15,0.23
2019-02-18,.
2019-02-19,0.2
2019-02-20,0.2
2019-02-21,0.24
2019-02-22,0.19
2019-02-25,0.2
2019-02-26,0.19
2019-02-27,0.24
2019-02-28,0.28
2019-03-01,0.32
2019-03-04,0.26
2019-03-05,0.26
2019-03-06,0.22
2019-03-07,0.19
2019-03-08,0.16
2019-03-11,0.18
2019-03-12,0.15
2019-03-13,0.16
2019-03-14,0.18
2019-03-15,0.14
2019-03-18,0.16
2019-03-19,0.15
2019-03-20,0.06
2019-03-21,0.05
